location,date,tmean_f,HDD,CDD,tmin,tmax,tavg,prcp,snow
CorpusChristi_TX,2021-01-01,49.82,15.18,0.0,4.6,14.9,9.9,,
CorpusChristi_TX,2021-01-02,51.26,13.74,0.0,4.6,17.4,10.7,0.0,
CorpusChristi_TX,2021-01-03,56.12,8.88,0.0,6.1,20.8,13.4,0.0,
CorpusChristi_TX,2021-01-04,63.5,1.5,0.0,11.2,24.6,17.5,0.0,
CorpusChristi_TX,2021-01-05,66.56,0.0,1.56,14.2,23.7,19.2,3.8,
CorpusChristi_TX,2021-01-06,67.82,0.0,2.82,13.8,23.8,19.9,2.7,
CorpusChristi_TX,2021-01-07,55.94,9.06,0.0,6.7,19.6,13.3,0.0,
CorpusChristi_TX,2021-01-08,51.08,13.92,0.0,4.8,15.7,10.6,0.0,
CorpusChristi_TX,2021-01-09,51.44,13.56,0.0,6.7,13.9,10.8,0.4,
CorpusChristi_TX,2021-01-10,49.82,15.18,0.0,4.2,14.0,9.9,34.6,
CorpusChristi_TX,2021-01-11,43.52,21.48,0.0,3.6,11.0,6.4,0.0,
CorpusChristi_TX,2021-01-12,41.0,24.0,0.0,1.7,7.9,5.0,0.8,
CorpusChristi_TX,2021-01-13,45.68,19.32,0.0,1.3,15.5,7.6,0.0,
CorpusChristi_TX,2021-01-14,58.64,6.36,0.0,8.7,25.9,14.8,0.0,
CorpusChristi_TX,2021-01-15,51.98,13.02,0.0,4.5,19.2,11.1,0.0,
CorpusChristi_TX,2021-01-16,49.28,15.72,0.0,2.8,17.6,9.6,0.0,
CorpusChristi_TX,2021-01-17,57.2,7.8,0.0,7.1,21.2,14.0,0.0,
CorpusChristi_TX,2021-01-18,65.84,0.0,0.84,13.5,23.7,18.8,0.0,
CorpusChristi_TX,2021-01-19,70.52,0.0,5.52,19.8,25.1,21.4,1.3,
CorpusChristi_TX,2021-01-20,64.76,0.24,0.0,15.1,22.0,18.2,2.9,
CorpusChristi_TX,2021-01-21,61.52,3.48,0.0,14.3,19.6,16.4,3.3,
CorpusChristi_TX,2021-01-22,66.92,0.0,1.92,16.8,24.4,19.4,0.5,
CorpusChristi_TX,2021-01-23,65.66,0.0,0.66,16.4,20.1,18.7,1.6,
CorpusChristi_TX,2021-01-24,72.32,0.0,7.32,20.4,24.5,22.4,1.6,
CorpusChristi_TX,2021-01-25,73.4,0.0,8.4,19.7,28.1,23.0,0.8,
CorpusChristi_TX,2021-01-26,71.06,0.0,6.06,19.5,25.9,21.7,0.0,
CorpusChristi_TX,2021-01-27,65.3,0.0,0.3,14.1,22.6,18.5,0.4,
CorpusChristi_TX,2021-01-28,53.6,11.4,0.0,8.5,15.6,12.0,0.0,
CorpusChristi_TX,2021-01-29,62.42,2.58,0.0,10.0,22.2,16.9,0.0,
CorpusChristi_TX,2021-01-30,70.34,0.0,5.34,18.3,24.7,21.3,0.0,
CorpusChristi_TX,2021-01-31,66.74,0.0,1.74,12.0,26.2,19.3,0.0,
CorpusChristi_TX,2021-02-01,57.74,7.26,0.0,9.3,21.0,14.3,0.0,
CorpusChristi_TX,2021-02-02,54.32,10.68,0.0,3.6,20.5,12.4,0.0,
CorpusChristi_TX,2021-02-03,64.04,0.96,0.0,11.2,23.8,17.8,0.0,
CorpusChristi_TX,2021-02-04,70.16,0.0,5.16,18.7,25.6,21.2,0.0,
CorpusChristi_TX,2021-02-05,61.88,3.12,0.0,13.9,20.2,16.6,0.7,
CorpusChristi_TX,2021-02-06,63.86,1.14,0.0,14.1,22.4,17.7,0.1,
CorpusChristi_TX,2021-02-07,59.54,5.46,0.0,5.7,21.1,15.3,0.0,
CorpusChristi_TX,2021-02-08,67.28,0.0,2.28,14.3,24.6,19.6,0.2,
CorpusChristi_TX,2021-02-09,71.06,0.0,6.06,19.5,26.7,21.7,0.8,
CorpusChristi_TX,2021-02-10,68.54,0.0,3.54,12.4,25.8,20.3,1.8,
CorpusChristi_TX,2021-02-11,43.34,21.66,0.0,4.0,11.3,6.3,8.6,
CorpusChristi_TX,2021-02-12,38.12,26.88,0.0,2.2,5.2,3.4,1.2,
CorpusChristi_TX,2021-02-13,35.06,29.94,0.0,1.2,2.4,1.7,1.1,
CorpusChristi_TX,2021-02-14,33.62,31.38,0.0,-2.9,2.6,0.9,5.4,
CorpusChristi_TX,2021-02-15,25.7,39.3,0.0,-7.2,0.2,-3.5,1.2,
CorpusChristi_TX,2021-02-16,34.16,30.84,0.0,-5.1,8.5,1.2,2.3,
CorpusChristi_TX,2021-02-17,41.0,24.0,0.0,0.6,10.7,5.0,5.8,
CorpusChristi_TX,2021-02-18,36.32,28.68,0.0,-1.0,8.1,2.4,0.0,
CorpusChristi_TX,2021-02-19,39.02,25.98,0.0,-0.8,10.3,3.9,0.0,
CorpusChristi_TX,2021-02-20,47.84,17.16,0.0,0.0,17.0,8.8,0.0,
CorpusChristi_TX,2021-02-21,62.24,2.76,0.0,11.2,23.5,16.8,0.0,
CorpusChristi_TX,2021-02-22,60.62,4.38,0.0,11.1,21.8,15.9,0.8,
CorpusChristi_TX,2021-02-23,63.86,1.14,0.0,11.5,24.3,17.7,0.0,
CorpusChristi_TX,2021-02-24,69.98,0.0,4.98,19.0,25.3,21.1,0.4,
CorpusChristi_TX,2021-02-25,70.52,0.0,5.52,19.2,24.9,21.4,1.2,
CorpusChristi_TX,2021-02-26,71.24,0.0,6.24,19.8,25.2,21.8,0.5,
CorpusChristi_TX,2021-02-27,71.6,0.0,6.6,20.2,24.5,22.0,0.1,
CorpusChristi_TX,2021-02-28,73.22,0.0,8.22,20.7,26.8,22.9,0.6,
CorpusChristi_TX,2021-03-01,60.98,4.02,0.0,11.5,21.8,16.1,8.1,
CorpusChristi_TX,2021-03-02,55.76,9.24,0.0,10.6,18.5,13.2,0.0,
CorpusChristi_TX,2021-03-03,55.22,9.78,0.0,6.2,19.1,12.9,0.0,
CorpusChristi_TX,2021-03-04,62.78,2.22,0.0,11.6,22.1,17.1,0.0,
CorpusChristi_TX,2021-03-05,68.72,0.0,3.72,16.1,27.3,20.4,2.1,
CorpusChristi_TX,2021-03-06,61.16,3.84,0.0,12.3,19.6,16.2,0.0,
CorpusChristi_TX,2021-03-07,60.44,4.56,0.0,8.8,21.2,15.8,0.0,
CorpusChristi_TX,2021-03-08,64.04,0.96,0.0,15.5,22.4,17.8,0.6,
CorpusChristi_TX,2021-03-09,68.54,0.0,3.54,15.0,25.6,20.3,0.0,
CorpusChristi_TX,2021-03-10,70.88,0.0,5.88,18.6,25.7,21.6,0.0,
CorpusChristi_TX,2021-03-11,72.86,0.0,7.86,20.6,26.1,22.7,0.1,
CorpusChristi_TX,2021-03-12,73.76,0.0,8.76,21.2,26.7,23.2,0.0,
CorpusChristi_TX,2021-03-13,73.22,0.0,8.22,21.0,26.2,22.9,0.2,
CorpusChristi_TX,2021-03-14,67.1,0.0,2.1,15.2,22.5,19.5,4.9,
CorpusChristi_TX,2021-03-15,65.66,0.0,0.66,15.3,22.1,18.7,1.7,
CorpusChristi_TX,2021-03-16,72.14,0.0,7.14,19.9,26.4,22.3,0.5,
CorpusChristi_TX,2021-03-17,76.46,0.0,11.46,20.4,32.0,24.7,2.6,
CorpusChristi_TX,2021-03-18,64.22,0.78,0.0,9.9,25.6,17.9,0.0,
CorpusChristi_TX,2021-03-19,59.72,5.28,0.0,8.7,22.6,15.4,0.0,
CorpusChristi_TX,2021-03-20,59.36,5.64,0.0,10.8,20.0,15.2,0.0,
CorpusChristi_TX,2021-03-21,63.14,1.86,0.0,11.7,22.6,17.3,0.0,
CorpusChristi_TX,2021-03-22,69.44,0.0,4.44,17.3,24.9,20.8,0.3,
CorpusChristi_TX,2021-03-23,73.58,0.0,8.58,19.9,29.0,23.1,0.5,
CorpusChristi_TX,2021-03-24,72.5,0.0,7.5,20.3,25.6,22.5,0.9,
CorpusChristi_TX,2021-03-25,73.4,0.0,8.4,18.5,30.6,23.0,0.5,
CorpusChristi_TX,2021-03-26,69.08,0.0,4.08,13.3,25.8,20.6,1.8,
CorpusChristi_TX,2021-03-27,74.66,0.0,9.66,21.3,27.4,23.7,0.5,
CorpusChristi_TX,2021-03-28,67.46,0.0,2.46,15.2,24.1,19.7,9.2,
CorpusChristi_TX,2021-03-29,63.14,1.86,0.0,11.6,21.5,17.3,0.3,
CorpusChristi_TX,2021-03-30,73.4,0.0,8.4,19.5,27.2,23.0,1.8,
CorpusChristi_TX,2021-03-31,73.22,0.0,8.22,20.8,27.8,22.9,2.5,
CorpusChristi_TX,2021-04-01,64.76,0.24,0.0,15.9,20.9,18.2,0.0,
CorpusChristi_TX,2021-04-02,64.94,0.06,0.0,15.1,22.0,18.3,0.0,
CorpusChristi_TX,2021-04-03,68.18,0.0,3.18,16.6,24.5,20.1,0.6,
CorpusChristi_TX,2021-04-04,70.16,0.0,5.16,18.2,25.3,21.2,1.0,
CorpusChristi_TX,2021-04-05,71.06,0.0,6.06,17.4,26.4,21.7,1.6,
CorpusChristi_TX,2021-04-06,74.48,0.0,9.48,21.1,26.9,23.6,0.1,
CorpusChristi_TX,2021-04-07,75.2,0.0,10.2,21.9,26.9,24.0,0.2,
CorpusChristi_TX,2021-04-08,75.74,0.0,10.74,20.8,29.7,24.3,0.0,
CorpusChristi_TX,2021-04-09,77.0,0.0,12.0,23.0,28.3,25.0,0.0,
